candidate_id,display_label,bucket,family,title,enabled,interval,asset_scope,excluded_assets,direction,entry_rule,exit_rule,stop_rule,target_rule,risk_rule,data_requirement,evidence_note,strategy_version
MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 40.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1
MR_REGIME_FILTER_V1,OLD_MR_REGIME,OLD_TEST,Mean Reversion,Regime-filtered pullback,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 35.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,,strategy-lab-v1.0.0:MR_REGIME_FILTER_V1
MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 30.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,,strategy-lab-v1.0.0:MR_DEEP_VALUE_V1
MR_TARGET_1R_V1,OLD_MR_1R,OLD_TEST,Exit Logic,Fixed 1R target,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 35.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,FIXED_1R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,,strategy-lab-v1.0.0:MR_TARGET_1R_V1
BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,True,1h,ALL,AUTO_QUARANTINE,LONG,"LONG breakout/retest; lookback=20, retest=False","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.2,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,,strategy-lab-v1.0.0:BREAKOUT_MOMENTUM_V1
NEW_BTC_12H_MR,NEW_BTC_12H_MR,NEW_TEST,Mean Reversion,BTC 12h relaxed mean reversion,True,12h,BTC,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 40.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Claude sweep: BTC/12h relaxed pullback positive in train and test.,strategy-lab-v1.0.0:NEW_BTC_12H_MR
NEW_BNB_12H_TREND,NEW_BNB_12H_TREND,NEW_TEST,Momentum,BNB 12h trend pullback proxy,True,12h,BNB,AUTO_QUARANTINE,LONG,"LONG breakout/retest; lookback=20, retest=False","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.2,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Claude sweep: BNB/12h trend pullback positive in train and test. Running as current momentum proxy until dedicated pullback engine is ported.,strategy-lab-v1.0.0:NEW_BNB_12H_TREND
NEW_BNB_12H_MR,NEW_BNB_12H_MR,NEW_TEST,Mean Reversion,BNB 12h relaxed mean reversion,True,12h,BNB,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 40.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Claude sweep: BNB/12h relaxed pullback positive in train and test.,strategy-lab-v1.0.0:NEW_BNB_12H_MR
NEW_XRP_2H_MR,NEW_XRP_2H_MR,NEW_TEST,Mean Reversion,XRP 2h deep-value mean reversion,True,2h,XRP,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 30.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Claude sweep: XRP/2h deep-value positive in train and test.,strategy-lab-v1.0.0:NEW_XRP_2H_MR
NEW_NEAR_2H_MR,NEW_NEAR_2H_MR,NEW_TEST,Mean Reversion,NEAR 2h deep-value mean reversion,True,2h,NEAR,AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 30.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.5,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Claude sweep: NEAR/2h deep-value positive in train and test.,strategy-lab-v1.0.0:NEW_NEAR_2H_MR
HYP_OIL_TREND_V1,HYP_OIL_TREND,HYPOTHESIS_TEST,Momentum,Oil futures trend continuation,True,1h,"OIL_FUT,BRENT_FUT",AUTO_QUARANTINE,LONG,"LONG breakout/retest; lookback=18, retest=True","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.1,FIXED_150R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Asset Failure Correction: OIL_FUT and BRENT_FUT are the strongest current positive asset cluster. Test only clean 1h trend continuation in energy futures.,strategy-lab-v1.0.0:HYP_OIL_TREND_V1
HYP_OIL_MR_V1,HYP_OIL_MR,HYPOTHESIS_TEST,Mean Reversion,Oil futures recovery mean reversion,True,1h,"OIL_FUT,BRENT_FUT",AUTO_QUARANTINE,LONG,"LONG mean reversion; RSI below 38.0, Bollinger/MA filters.","Exit at target, stop loss, or strategy-specific invalidation.",ATR stop x1.25,FIXED_125R target.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Asset Failure Correction: test whether 1h oil pullbacks work better after RSI recovery and a minimum reward gate.,strategy-lab-v1.0.0:HYP_OIL_MR_V1
RMR_LONG_ONLY_EURUSD_4H,RMR_LONG_EURUSD_4H,RANGE_MR_WATCHLIST,Range Mean Reversion,EURUSD 4h range MR long-only,True,4h,EURUSD,AUTO_QUARANTINE,LONG,ADX range gate with BAND_EXTREME entry,"Exit at SMA20 reversion, ADX regime break, or disaster stop.",ATR stop x2.0,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Range MR hypothesis split: EURUSD 4h long-only showed strongest watchlist edge. Forward-test only until 30-50 trades.,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H
RMR_ADX_FALLING_ETH_4H,RMR_ADX_ETH_4H,RANGE_MR_WATCHLIST,Range Mean Reversion,ETH 4h range MR with falling ADX,True,4h,ETH,AUTO_QUARANTINE,LONG,ADX range gate with BAND_EXTREME entry,"Exit at SMA20 reversion, ADX regime break, or disaster stop.",ATR stop x2.0,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Range MR hypothesis split: ETH 4h improved when ADX was falling into range conditions.,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H
RMR_LONG_ONLY_BTC_1D,RMR_LONG_BTC_1D,RANGE_MR_WATCHLIST,Range Mean Reversion,BTC daily range MR long-only,True,1d,BTC,AUTO_QUARANTINE,LONG,ADX range gate with BAND_EXTREME entry,"Exit at SMA20 reversion, ADX regime break, or disaster stop.",ATR stop x2.0,Frozen MA20 target at entry.,Paper only; risk_per_trade and max_notional_pct controlled by Strategy Lab environment.,Closed candles only; no sample/fallback/stale feed may support promotion.,Range MR hypothesis split: BTC daily long-only is promising but sample-limited.,strategy-lab-v1.0.0:RMR_LONG_ONLY_BTC_1D
