parent_label,repair_label,attempt_number,failure_reason_code,parent_net_pnl,repair_net_pnl,repair_vs_parent_net_delta,repair_quality_label,repair_quality_detail,repair_trades,sample_milestone,random_baseline_status,promotion_decision,lineage_status,dashboard_lineage_label
OLD_MR_DEEP,NEEDS_DESIGN,0,MEAN_REVERSION_EARLY_ENTRY,-1318.79,0.0,1318.79,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",0,DESIGN_REQUIRED,NO_REPAIR_NO_BASELINE,DESIGN_REQUIRED,NEEDS_DESIGN,OLD_MR_DEEP -> NEEDS_DESIGN: DESIGN_REQUIRED
V2_MR_RECOVERY,NEEDS_DESIGN,0,MEAN_REVERSION_EARLY_ENTRY,-297.47,0.0,297.47,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",0,DESIGN_REQUIRED,NO_REPAIR_NO_BASELINE,DESIGN_REQUIRED,NEEDS_DESIGN,V2_MR_RECOVERY -> NEEDS_DESIGN: DESIGN_REQUIRED
HYP_OIL_TREND,NEEDS_DESIGN,0,INSUFFICIENT_FAILURE_SAMPLE,-9.45,0.0,9.45,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",0,DESIGN_REQUIRED,NO_REPAIR_NO_BASELINE,DESIGN_REQUIRED,NEEDS_DESIGN,HYP_OIL_TREND -> NEEDS_DESIGN: DESIGN_REQUIRED
NEW_BNB_12H_TREND,NEEDS_DESIGN,0,INSUFFICIENT_FAILURE_SAMPLE,-4.45,0.0,4.45,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",0,DESIGN_REQUIRED,NO_REPAIR_NO_BASELINE,DESIGN_REQUIRED,NEEDS_DESIGN,NEW_BNB_12H_TREND -> NEEDS_DESIGN: DESIGN_REQUIRED
FIX_BREAKOUT_QUALITY,NEEDS_DESIGN,0,BREAKOUT_FAKEOUT,230.58,0.0,-230.58,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",0,DESIGN_REQUIRED,NO_REPAIR_NO_BASELINE,DESIGN_REQUIRED,NEEDS_DESIGN,FIX_BREAKOUT_QUALITY -> NEEDS_DESIGN: DESIGN_REQUIRED
OLD_MR_1R,FIX_MR_1R_ASYM,1,EXIT_ASYMMETRY,-775.15,-246.23,528.92,NEGATIVE_REPAIR,Repair is still losing in both net P/L and R-expectancy.,6,UNDER_30_COLLECTING,BASELINE_NOT_AVAILABLE,COLLECT_FRESH_DATA,ACTIVE_FORWARD_REPAIR,OLD_MR_1R -> FIX_MR_1R_ASYM: COLLECT_FRESH_DATA
OLD_MR_REGIME,FIX_MR_LATE,1,MEAN_REVERSION_EARLY_ENTRY,-797.35,-71.11,726.24,NEGATIVE_REPAIR,Repair is still losing in both net P/L and R-expectancy.,6,UNDER_30_COLLECTING,BASELINE_NOT_AVAILABLE,COLLECT_FRESH_DATA,ACTIVE_FORWARD_REPAIR,OLD_MR_REGIME -> FIX_MR_LATE: COLLECT_FRESH_DATA
OLD_MR_RELAXED,FIX_MR_LATE,1,MEAN_REVERSION_EARLY_ENTRY,-671.4,-71.11,600.29,NEGATIVE_REPAIR,Repair is still losing in both net P/L and R-expectancy.,6,UNDER_30_COLLECTING,BASELINE_NOT_AVAILABLE,COLLECT_FRESH_DATA,ACTIVE_FORWARD_REPAIR,OLD_MR_RELAXED -> FIX_MR_LATE: COLLECT_FRESH_DATA
OLD_BREAKOUT,FIX_BREAKOUT_QUALITY,1,CAPITAL_DRAIN,-1549.48,230.58,1780.06,ACCOUNTING_PROFIT_ONLY,"Net dollars are positive, but R-expectancy is not positive; treat as unproven and redesign risk/reward before promotion.",26,UNDER_30_COLLECTING,BASELINE_NOT_AVAILABLE,COLLECT_FRESH_DATA_ACCOUNTING_ONLY,ACTIVE_FORWARD_REPAIR,OLD_BREAKOUT -> FIX_BREAKOUT_QUALITY: COLLECT_FRESH_DATA_ACCOUNTING_ONLY
V2_BREAKOUT_RETEST,FIX_BREAKOUT_QUALITY,1,BREAKOUT_FAKEOUT,-323.01,230.58,553.59,ACCOUNTING_PROFIT_ONLY,"Net dollars are positive, but R-expectancy is not positive; treat as unproven and redesign risk/reward before promotion.",26,UNDER_30_COLLECTING,BASELINE_NOT_AVAILABLE,COLLECT_FRESH_DATA_ACCOUNTING_ONLY,ACTIVE_FORWARD_REPAIR,V2_BREAKOUT_RETEST -> FIX_BREAKOUT_QUALITY: COLLECT_FRESH_DATA_ACCOUNTING_ONLY
