Parent,Proposed Variant,Mode,Hypothesis,Proposed Changes,Promotion Rule
NEW_BTC_12H_MR,NEW_BTC_12H_MR_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
BREAKOUT_MOMENTUM_V1,BREAKOUT_MOMENTUM_V2,SHADOW_TEST_ONLY,Breakout losses may shrink if NERO avoids first-break fakeouts and only accepts cleaner trend regimes.,Add retest confirmation; require 60D trend support; block high-volatility shock regimes; target at 1.5R.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
MR_RELAXED_PULLBACK_V1,MR_RELAXED_PULLBACK_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
MR_REGIME_FILTER_V1,MR_REGIME_FILTER_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
NEW_BNB_12H_TREND,NEW_BNB_12H_TREND_V2,SHADOW_TEST_ONLY,Breakout losses may shrink if NERO avoids first-break fakeouts and only accepts cleaner trend regimes.,Add retest confirmation; require 60D trend support; block high-volatility shock regimes; target at 1.5R.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
NEW_BNB_12H_MR,NEW_BNB_12H_MR_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
NEW_XRP_2H_MR,NEW_XRP_2H_MR_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
NEW_NEAR_2H_MR,NEW_NEAR_2H_MR_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
MR_TARGET_1R_V1,MR_TARGET_1R_V2,SHADOW_TEST_ONLY,Exit quality may improve if reward-to-risk is validated before entry.,"Compare fixed 1R, 1.25R, and frozen MA20 exits; reject setups with planned reward below 1.2R.","100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
V2_BREAKOUT_RETEST,V2_BREAKOUT_RETEST_V2,SHADOW_TEST_ONLY,Breakout losses may shrink if NERO avoids first-break fakeouts and only accepts cleaner trend regimes.,Add retest confirmation; require 60D trend support; block high-volatility shock regimes; target at 1.5R.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
MR_DEEP_VALUE_V1,MR_DEEP_VALUE_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
V2_MR_DEEP,V2_MR_DEEP_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
V2_MR_RECOVERY,V2_MR_RECOVERY_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
V2_MR_REGIME,V2_MR_REGIME_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
V2_MR_REWARD,V2_MR_REWARD_V2,SHADOW_TEST_ONLY,Exit quality may improve if reward-to-risk is validated before entry.,"Compare fixed 1R, 1.25R, and frozen MA20 exits; reject setups with planned reward below 1.2R.","100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
NEW_BTC_ETH_12H_PAIR,NEW_BTC_ETH_12H_PAIR_V2,SHADOW_TEST_ONLY,Mean-reversion losses may reduce if entries wait for oversold exhaustion instead of catching falling candles.,Tighten regime filter; require RSI recovery hook; avoid entries when MA20 target is too close after fees.,"100 trades, expectancy > 0, profit factor >= 1.25, max drawdown <= 8%, live-data only."
