name,handle,platform,asset_focus,style,role,starting_reliability,risk_flags,notes
Vitalik Buterin,@VitalikButerin,X,ETH|Crypto,protocol|macro,Builder,55,not_trade_signal,"Ethereum founder; use as protocol/macro context, not direct trade signal."
Changpeng Zhao,@cz_binance,X,Crypto|BTC,exchange|market_structure,Market operator,50,cryptic_posts,"Binance founder; posts can move sentiment but must be audited."
Michael van de Poppe,@CryptoMichNL,X,BTC|Altcoins|Macro,technical|macro,Analyst,50,education_and_signals,"Technical and macro commentary; verify levels and follow-ups."
Ali Martinez,@ali_charts,X,BTC|Crypto,technical|onchain,Analyst,50,chart_based,"Clear technical analysis; track pre/post call outcomes."
MMCrypto,@MMCrypto,X,BTC|Crypto,technical|narrative,Influencer,45,bullish_bias,"Large audience; account for optimism bias."
Michael Saylor,@saylor,X,BTC,macro|institutional,Institutional advocate,50,perma_bull_bias,"Bitcoin institutional adoption narrative; not a tactical trading signal."
Arthur Hayes,@CryptoHayes,X,BTC|Macro|Crypto,macro|liquidity,Trader macro thinker,55,essay_timeframe,"Useful for liquidity/macro regime thinking; often longer timeframe."
Pentoshi,@Pentosh1,X,BTC|Altcoins,technical|market_structure,Trader,55,needs_timeframe,"Chart-focused market calls; audit timeframe clarity."
CryptoCred,@CryptoCred,X,BTC|Crypto,education|technical,Educator trader,55,education_first,"High-quality TA education; use for structure ideas."
Crypto Rover,@rovercrc,X,BTC|Crypto,technical|news,Influencer,45,hype_risk,"Frequent market posts; require confirmation and outcome tracking."
Robert Kiyosaki,@theRealKiyosaki,X,BTC|Gold|Macro,macro|wealth_protection,Macro commentator,45,broad_macro_not_tactical,"Broad inflation/wealth protection narrative; not trade trigger."
Peter Brandt,@PeterLBrandt,X,Gold|BTC|Commodities,classic_charting|technical,Veteran trader,60,strict_chart_context,"Classical charting veteran; useful for structure and invalidation."
Lior Cohen,@Tradingnrg,X,Gold|Oil|Commodities,commodities|macro,Commodities analyst,50,needs_verification,"Gold/silver/oil commentary; verify handle and track calls."
Luke Taylor,@zcfxtrading,X,Gold|Forex,mechanical|metals,Metals trader,50,needs_verification,"Rule-based metals/FX approach; verify current handle and public calls."
Samuel Leach,@samuelleach,X,Gold|Forex,education|trading,Trader educator,45,education_marketing_risk,"Useful content but audit claims and sales bias."
Brenda Kelly,@Brenda_Kelly,X,Forex|Gold|Macro,macro|market_commentary,Analyst,50,needs_verification,"Market observations; verify current activity and gold relevance."
Jeremy Cook,@World_First,X,Forex|Macro,policy|fx,FX commentator,45,possible_brand_handle,"Policy/FX takes; verify current identity/handle."
Walter Vannelli,@waltervannelli,X,Forex|Gold,technical|trade_journal,Trader,50,needs_verification,"Claims public trades; track pre-call clarity and outcomes."
